id,encounter_date,reported_date,year,month,hour,season,country_code,country,region,locale,latitude,longitude,ufo_shape,duration_secs,description
22584,2004-01-25 19:30:00,2004-01-31,2004,January,19,Winter,,Canada,,,48.439549,-123.326395,Other,1814400.0,bright lights colour changing spheresbeen observing for 3wkshigh in sky.
22588,2004-12-05 22:00:00,2004-12-14,2004,December,22,Winter,,Canada,,,42.95,-81.616667,Diamond,600.0,slow moving diamond/triangle shaped low flying craft without any sound w/bright white lights on tips and scrolling blue and red lights
22589,2004-12-05 22:20:00,2004-12-14,2004,December,22,Winter,,Kyrgyzstan,,,42.874722,74.612222,Unknown,7200.0,a bright shining object  emitted multicolored beams of light
22591,2005-01-25 00:00:00,2005-02-22,2005,January,0,Winter,,United States,,,34.6888889,-82.1958333,Light,30.0,bright white light non flashingleading in front of two airliners.
22594,2005-12-05 01:00:00,2006-02-14,2005,December,1,Winter,,United States,,,36.250719,-115.1641,Disk,300.0,there were three saucer ufos flying about in a triangle pattern. lasted about 5 minutes.
22595,2005-01-25 06:32:00,2005-01-27,2005,January,6,Winter,,United States,,,38.9697222,-76.8802778,Light,2.0,observed burst of bluish light at cloud level at 0632 on 25 jan 05.
22597,2005-01-25 08:00:00,2005-04-16,2005,January,8,Winter,,United States,,,43.7097222,-71.4608333,Unknown,30.0,my girlfriend and i were driving down a country road that i live on when we both saw a group of very bright lights in the sky at or abo
22649,2007-01-25 19:30:00,2007-02-01,2007,January,19,Winter,,United States,,,40.4905556,-87.0963889,Circle,180.0,bright orange circle of light that appeared and reappeared in a different location several times
22669,2008-01-25 16:30:00,2008-02-14,2008,January,16,Winter,,United States,,,42.96336,-85.668086,Cigar,10.0,a missle shaped silver object going at a fantastic rate of speed that was observed from inside an airplane.
22673,2008-01-25 22:00:00,2009-03-19,2008,January,22,Winter,,United States,,,31.1711111,-84.7333333,Disk,600.0,giant light with dish shaped object above it
22674,2008-01-25 22:00:00,2008-02-14,2008,January,22,Winter,,United States,,,35.5755556,-81.2119444,Circle,900.0,strange object/light over maiden nc area
22676,2008-12-05 22:45:00,2009-01-10,2008,December,22,Winter,,United States,,,43.8127778,-70.8780556,Teardrop,5.0,green light over ice skating rink in south hiram maine
22677,2008-01-25 23:00:00,2008-02-14,2008,January,23,Winter,,United States,,,29.2891667,-82.1119444,Disk,30.0,saw a whit dot take shape of a saucer float there for a second and then take off into the clouds
22679,2008-01-25 23:00:00,2008-02-14,2008,January,23,Winter,,United States,,,28.865,-82.0391667,Flash,2.0,green oval shaped flash of light no sound
22703,2010-12-05 09:20:00,2011-01-05,2010,December,9,Winter,,United States,,,40.8258333,-74.2094444,Oval,40.0,brite white oval shaped object that grew briter and disappeared
